Reg.-Nr.	Gebiet	Bereich	Leitgemeinde	Wiki-ID (Leitgemeinde)	Großlage	Einzellage	ha	über NN	Neigung	Exposition
6							9080	65-380		
6, 1	Mosel	Bernkastel					5984	90-320		
6.1.1	Mosel	Bernkastel	Bernkastel	Q155622	Badstube		55	125-250		
6.1.1.001	Mosel	Bernkastel	Bernkastel	Q155622	Badstube	Bratenh�fchen	18	130-250	hängig-steil	WSW
6.1.1.002	Mosel	Bernkastel	Bernkastel	Q155622	Badstube	Doctor	3	125-200	steil	S-SSW
6.1.1.003	Mosel	Bernkastel	Bernkastel	Q155622	Badstube	Graben	12	125-225	hängig-steil	WSW
6.1.1.004	Mosel	Bernkastel	Bernkastel	Q155622	Badstube	Lay	10	115-135	steil	WSW
6.1.1.005	Mosel	Bernkastel	Bernkastel	Q155622	Badstube	Matheisbildchen	10	135-190	hängig-steil	WSW
6.1.1.006	Mosel	Bernkastel	Bernkastel	Q155622	Badstube	Alte Badstube am Doktorberg	2			
6.1.2	Mosel	Bernkastel	Bernkastel	Q155622	Kurfürstenlay		1352	105-320		
6.1.2.007	Mosel	Bernkastel	Bernkastel	Q155622	Kurfürstenlay	Schloßberg	23	120-300	hängig-steil	SW-W
6.1.2.008	Mosel	Bernkastel	Bernkastel	Q155622	Kurfürstenlay	Johannisbrünnchen	12	150-300	steil	SWS-W
6.1.2.009	Mosel	Bernkastel	Kues	Q155622	Kurfürstenlay	Kardinalsberg	56	110-240	hängig-steil	S
6.1.2.010	Mosel	Bernkastel	Kues	Q155622	Kurfürstenlay	Rosenberg	6	130-250	hängig-steil	OSO
6.1.2.011	Mosel	Bernkastel	Kues	Q155622	Kurfürstenlay	Weisenstein	15	110-150	hängig-steil	SSW
6.1.2.012	Mosel	Bernkastel	Brauneberg	Q567156	Kurfürstenlay	Juffer	32	110-240	steil	SSO
6.1.2.013	Mosel	Bernkastel	Brauneberg	Q567156	Kurfürstenlay	Juffer Sonnenuhr	11	110-240	steil	SSO
6.1.2.014	Mosel	Bernkastel	Brauneberg	Q567156	Kurfürstenlay	Kammer	1	105-195	hängig-steil	SSO
6.1.2.015	Mosel	Bernkastel	Brauneberg	Q567156	Kurfürstenlay	Klostergarten	53	160-260	hängig	W-WNW
6.1.2.016	Mosel	Bernkastel	Brauneberg	Q567156	Kurfürstenlay	Mandelgraben	122	120-250	hängig-steil	SO
6.1.2.017	Mosel	Bernkastel	Burgen	Q679415	Kurfürstenlay	Hasenläufer	30	180-200	hängig-steil	W
6.1.2.018	Mosel	Bernkastel	Burgen	Q679415	Kurfürstenlay	Kirchberg	17	180-240	hängig-steil	OSO
6.1.2.019	Mosel	Bernkastel	Burgen	Q679415	Kurfürstenlay	Römerberg	7	190-240	steil	SO
6.1.2.020	Mosel	Bernkastel	Kesten	Q569300	Kurfürstenlay	Herrenberg	61	110-300	hängig-steil	O-S
6.1.2.021	Mosel	Bernkastel	Kesten	Q569300	Kurfürstenlay	Paulinsberg	36	120-220	hängig-steil	O-S
6.1.2.022	Mosel	Bernkastel	Kesten	Q569300	Kurfürstenlay	Paulinshofberger	16	125-220	steil	SSO
6.1.2.023	Mosel	Bernkastel	Lieser	Q646892	Kurfürstenlay	Schloßberg	85	130-240	hängig-steil	SW+S+ON
6.1.2.024	Mosel	Bernkastel	Maring-Noviand	Q566744	Kurfürstenlay	Honigberg	56	150-260	hängig-steil	SSO-SSW
6.1.2.025	Mosel	Bernkastel	Maring-Noviand	Q566744	Kurfürstenlay	Klosterberg	27	160-260	hängig-steil	SSO
6.1.2.026	Mosel	Bernkastel	Maring-Noviand	Q566744	Kurfürstenlay	Römerpfad	24	130-150	hängig-steil	S
6.1.2.027	Mosel	Bernkastel	Maring-Noviand	Q566744	Kurfürstenlay	Sonnenuhr	35	140-240	hängig-steil	SW
6.1.2.028	Mosel	Bernkastel	Mühlheim	Q667192	Kurfürstenlay	Amtgarten	1	110-113	hängig	NW
6.1.2.029	Mosel	Bernkastel	Mühlheim	Q667192	Kurfürstenlay	Elisenberg	4	180-210	hängig-steil	SW
6.1.2.030	Mosel	Bernkastel	Mühlheim	Q667192	Kurfürstenlay	Helenenkloster	1	125-140	hängig	SW
6.1.2.031	Mosel	Bernkastel	Mühlheim	Q667192	Kurfürstenlay	Sonnenlay	52	130-260	hängig-steil	W
6.1.2.032	Mosel	Bernkastel	Monzel	Q648793	Kurfürstenlay	Kätzchen	81	150-300	hängig-steil	S
6.1.2.033	Mosel	Bernkastel	Osann	Q648793	Kurfürstenlay	Kirchlay	18	221-255	hängig-steil	S-SSW
6.1.2.034	Mosel	Bernkastel	Monzel	Q648793	Kurfürstenlay	Paulinslay	33	160-320	hängig	NW
6.1.2.035	Mosel	Bernkastel	Osann	Q648793	Kurfürstenlay	Rosenberg	92	160-320	hängig-steil	S-WSW
6.1.2.036	Mosel	Bernkastel	Veldenz	Q569812	Kurfürstenlay	Carlsberg	1	140-150	hängig	SW
6.1.2.037	Mosel	Bernkastel	Veldenz	Q569812	Kurfürstenlay	Grafschafter Sonnenberg	30	140-260	hängig-steil	O
6.1.2.038	Mosel	Bernkastel	Veldenz	Q569812	Kurfürstenlay	Kirchberg	67	140-300	hängig-steil	S-SW
6.1.2.039	Mosel	Bernkastel	Veldenz	Q569812	Kurfürstenlay	M�hlberg	1	180-220	steil	S-W
6.1.2.040	Mosel	Bernkastel	Wintrich	Q373778	Kurfürstenlay	Großer Herrgott	94	120-200	hängig-steil	S-W-NW
6.1.2.041	Mosel	Bernkastel	Wintrich	Q373778	Kurfürstenlay	Ohligsberg	7	120-220	hängig-steil	SW-W
6.1.2.042	Mosel	Bernkastel	Wintrich	Q373778	Kurfürstenlay	Stefanslay	47	115-200	hängig	WNW
6.1.2.043	Mosel	Bernkastel	Bernkastel	Q155622	Kurfürstenlay	Stephanus-Rosengärtchen	1	150-250	steil	SW
6.1.2.044	Mosel	Bernkastel	Wintrich	Q373778	Kurfürstenlay	Geierslay	4	110-260	steil	W
6.1.2.045	Mosel	Bernkastel	Lieser	Q646892	Kurfürstenlay	Rosenlay	17	110-200	hängig-steil	S-SW
6.1.2.046	Mosel	Bernkastel	Lieser	Q646892	Kurfürstenlay	Niederberg-Helden	29	120-240	steil	SSW
6.1.2.047	Mosel	Bernkastel			Kurfürstenlay		11	180-210	hängig-steil	SW
6.1.2.048	Mosel	Bernkastel	Andel	Q155622	Kurfürstenlay	Goldschatz	4	110-150	hängig	NNO
6.1.2.049	Mosel	Bernkastel	Maring-Noviand	Q566744	Kurfürstenlay	Lambertuslay	32	150-240	hängig-steil	SO
6.1.3	Mosel	Bernkastel	Piesport	Q375762	Michelsberg		1106	110-300		
6.1.3.050	Mosel	Bernkastel	Minheim	Q524796	Michelsberg	Burglay	17	120-260	hängig-steil	O-S
6.1.3.051	Mosel	Bernkastel	Minheim	Q524796	Michelsberg	Kapellchen	47	120-220	hängig-steil	ONO-SO
6.1.3.052	Mosel	Bernkastel	Minheim	Q524796	Michelsberg	Rosenberg	70	120-220	hängig-steil	SO
6.1.3.053	Mosel	Bernkastel	Neumagen	Q572352	Michelsberg	Engelgrube	53	120-170	hängig	W
6.1.3.054	Mosel	Bernkastel	Piesport	Q375762	Michelsberg	Grafenberg	8	120-250	steil	O-OSO
6.1.3.055	Mosel	Bernkastel	Dhron	Q572352	Michelsberg	Großer Hengelberg	1	140-180	steil	SSW
6.1.3.056	Mosel	Bernkastel	Dhron	Q572352	Michelsberg	Hofberger	85	120-200	steil	SW
6.1.3.057	Mosel	Bernkastel	Neumagen	Q572352	Michelsberg	Laudamusberg	27	120-260	hängig-steil	SSW-W
6.1.3.058	Mosel	Bernkastel	Neumagen	Q572352	Michelsberg	Roseng�rtchen	26	120-265	steil	SW-W
6.1.3.059	Mosel	Bernkastel	Dhron	Q572352	Michelsberg	Roterd	48	120-290	hängig-steil	W
6.1.3.060	Mosel	Bernkastel	Neumagen	Q572352	Michelsberg	Sonnenuhr	1	130-170	steil	SW
6.1.3.061	Mosel	Bernkastel	Piesport	Q375762	Michelsberg	Domherr	4	120-150	steil	SSO
6.1.3.062	Mosel	Bernkastel	Piesport	Q375762	Michelsberg	Falkenberg	32	150-300	hängig-steil	SO-S
6.1.3.063	Mosel	Bernkastel	Niederemmel	Q375762	Michelsberg	G�rtchen	1	190-220	steil	SW
6.1.3.064	Mosel	Bernkastel	Piesport	Q375762	Michelsberg	Goldtr�pfchen	66	125-160	steil	SO-S-SW
6.1.3.065	Mosel	Bernkastel	Piesport	Q375762	Michelsberg	G�nterslay	27	150-290	steil	S-W
6.1.3.066	Mosel	Bernkastel	Piesport	Q375762	Michelsberg	Schubertslay	1	125-150	steil	SSO
6.1.3.067	Mosel	Bernkastel	Piesport	Q375762	Michelsberg	Treppchen	291	120-260	hängig-steil	O-N-W
6.1.3.068	Mosel	Bernkastel	Rivenich	Q552448	Michelsberg	Brauneberg	6	170-237	hängig-steil	SW
6.1.3.069	Mosel	Bernkastel	Rivenich	Q552448	Michelsberg	Geisberg	6	240-300	hängig-steil	S-W
6.1.3.070	Mosel	Bernkastel	Rivenich	Q552448	Michelsberg	Niederberg	19	140-240	hängig-steil	S-W
6.1.3.071	Mosel	Bernkastel	Rivenich	Q552448	Michelsberg	Rosenberg	31	220-300	hängig-steil	W-NW
6.1.3.072	Mosel	Bernkastel	Trittenheim	Q662479	Michelsberg	Alt�rchen	167	120-255	hängig-steil	SSO-W
6.1.3.073	Mosel	Bernkastel	Trittenheim	Q662479	Michelsberg	Apotheke	67	120-240	hängig-steil	WSW-S-O
6.1.3.074	Mosel	Bernkastel	Trittenheim	Q662479	Michelsberg	Felsenkopf	1	120-140	steil	WSW
6.1.3.075	Mosel	Bernkastel	Trittenheim	Q662479	Michelsberg	Leiterchen	1	160-180	steil	W
6.1.3.076	Mosel	Bernkastel	Niederemmel	Q375762	Michelsberg	Kreuzwingert	1	160-210	steil	SSW
6.1.3.077	Mosel	Bernkastel	Dhron	Q572352	Michelsberg	H�s'chen	1	120-220	steil	S
6.1.3.078	Mosel	Bernkastel	Neumagen	Q572352	Michelsberg	Nu�wingert	1	110-180	steil	OSO
6.1.4	Mosel	Bernkastel			M�nzlay		353	110-220	steil	O
6.1.4.079	Mosel	Bernkastel	Graach	Q648808	M�nzlay	Abtsberg	12	260-320	steil	SSW
6.1.4.080	Mosel	Bernkastel	Graach	Q648808	M�nzlay	Domprobst	19	130-260	steil	SW
6.1.4.081	Mosel	Bernkastel	Graach	Q648808	M�nzlay	Himmelreich	76	110-260	steil	SW
6.1.4.082	Mosel	Bernkastel	Graach	Q648808	M�nzlay	Josephsh�fer	5	120-170	hängig-steil	SSW
6.1.4.083	Mosel	Bernkastel	Wehlen	Q155622	M�nzlay	Nonnenberg	45	110-240	hängig-steil	NO
6.1.4.084	Mosel	Bernkastel	Wehlen	Q155622	M�nzlay	Sonnenuhr	44	109-190	steil	SSW
6.1.4.085	Mosel	Bernkastel	Zeltingen	Q189241	M�nzlay	Deutschherrenberg	12	110-240	steil	O
6.1.4.086	Mosel	Bernkastel	Zeltingen	Q189241	M�nzlay	Himmelreich	88	110-220	hängig-steil	SW-WNW
6.1.4.087	Mosel	Bernkastel	Zeltingen	Q189241	M�nzlay	Schloßberg	16	110-220	steil	SW
6.1.4.088	Mosel	Bernkastel	Zeltingen	Q189241	M�nzlay	Sonnenuhr	17	110-160	steil	SSW
6.1.4.089	Mosel	Bernkastel	Wehlen	Q155622	M�nzlay	Klosterberg	12	210-240	steil	SO-S
6.1.4.090	Mosel	Bernkastel	Wehlen	Q155622	M�nzlay	Abtei	3	110-220	hängig-steil	ONO
6.1.4.091	Mosel	Bernkastel	Wehlen	Q155622	M�nzlay	Rosenberg	4	200-280	steil	SSW
6.1.5	Mosel	Bernkastel	Kr�v	Q553171	Nacktarsch		185	100-300		
6.1.5.092	Mosel	Bernkastel	K�venig	Q1796794	Nacktarsch	Burglay	2	100-200	steil	O
6.1.5.093	Mosel	Bernkastel	K�venig	Q1796794	Nacktarsch	Herrenberg	3	110-230	hängig-steil	O
6.1.5.094	Mosel	Bernkastel	Kr�v	Q553171	Nacktarsch	Kirchlay	48	100-300	hängig-steil	SO
6.1.5.095	Mosel	Bernkastel	Kr�v	Q553171	Nacktarsch	Letterlay	21	110-170	steil	S
6.1.5.096	Mosel	Bernkastel	Kr�v	Q553171	Nacktarsch	Paradies	94	100-300	hängig-steil	SO
6.1.5.097	Mosel	Bernkastel	Kr�v	Q553171	Nacktarsch	Steffensberg	17	110-280	hängig-steil	S-SSW
6.1.6	Mosel	Bernkastel	Longuich	Q569606	Propstberg		448	120-300		
6.1.6.098	Mosel	Bernkastel	Fell	Q659890	Propstberg	Maximiner Burgberg	80	130-300	hängig-steil	S-WNW
6.1.6.099	Mosel	Bernkastel	Kenn	Q174435	Propstberg	Held	9	120-180	hängig-steil	OSO
6.1.6.100	Mosel	Bernkastel	Kenn	Q174435	Propstberg	Maximiner Hofgarten	7	140-250	steil	SW-NW
6.1.6.101	Mosel	Bernkastel	Longuich	Q569606	Propstberg	Hirschlay	107	125-150	hängig-steil	ONO-SO
6.1.6.102	Mosel	Bernkastel	Longuich	Q569606	Propstberg	Maximiner Herrenberg	12	125-150	steil	SW
6.1.6.103	Mosel	Bernkastel	Riol	Q553441	Propstberg	R�merberg	140	125-260	hängig	N-NO
6.1.6.104	Mosel	Bernkastel	Schweich	Q212570	Propstberg	Annaberg	26	120-200	hängig-steil	SSW
6.1.6.105	Mosel	Bernkastel	Schweich	Q212570	Propstberg	Burgmauer	41	150-300	hängig-steil	S-W
6.1.6.106	Mosel	Bernkastel	Schweich	Q212570	Propstberg	Herrenberg	26	200-300	hängig-steil	SW
6.1.7	Mosel	Bernkastel			St. Michael		1368	120-320		
6.1.7.107	Mosel	Bernkastel	Bekond	Q569708	St. Michael	Brauneberg	45	150-240	hängig-steil	SW
6.1.7.108	Mosel	Bernkastel	Bekond	Q569708	St. Michael	Schloßberg	26	150-330	hängig-steil	SW
6.1.7.109	Mosel	Bernkastel	Ensch	Q660477	St. Michael	M�hlenberg	56	120-250	hängig-steil	OSO-SSW
6.1.7.110	Mosel	Bernkastel	Ensch	Q660477	St. Michael	St. Martin	23	120-220	hängig	O
6.1.7.111	Mosel	Bernkastel	Ensch	Q660477	St. Michael	Sonnenlay	9	120-240	steil	SO
6.1.7.112	Mosel	Bernkastel	Kl�sserath	Q569589	St. Michael	Bruderschaft	186	120-280	hängig-steil	SSO-SW
6.1.7.113	Mosel	Bernkastel	K�werich	Q657740	St. Michael	Laurentiuslay	18	120-140	steil	SW-WSW
6.1.7.114	Mosel	Bernkastel	Mehring	Q543574	St. Michael	Blattenberg	43	125-220	steil	S-SW
6.1.7.115	Mosel	Bernkastel	Mehring	Q543574	St. Michael	Goldkupp	89	120-320	hängig-steil	S-SSW+N
6.1.7.116	Mosel	Bernkastel	Mehring	Q543574	St. Michael	Zellerberg	122	125-309	hängig-steil	SSW
6.1.7.117	Mosel	Bernkastel	P�lich	Q553412	St. Michael	Held	85	120-200	hängig-steil	S-O
6.1.7.118	Mosel	Bernkastel	Schleich	Q660583	St. Michael	Klosterberg	6	122-170	hängig-steil	SO
6.1.7.119	Mosel	Bernkastel	Schleich	Q660583	St. Michael	Sonnenberg	12	125-230	hängig-steil	O-S
6.1.7.120	Mosel	Bernkastel	Th�rnich	Q591473	St. Michael	Engga�	9	120-250	steil	O-SO
6.1.7.121	Mosel	Bernkastel	Th�rnich	Q591473	St. Michael	Ritsch	15	120-250	steil	SSO-SW
6.1.7.122	Mosel	Bernkastel	Th�rnich	Q591473	St. Michael	Schie�lay	105	120-200	hängig	WSW-NW
6.1.7.123	Mosel	Bernkastel	Detzem	Q553394	St. Michael	Maximiner Klosterlay	43	120-175	hängig-steil	WSW-W
6.1.7.124	Mosel	Bernkastel	Detzem	Q553394	St. Michael	W�rzgarten	100	120-200	hängig-steil	WSW
6.1.7.125	Mosel	Bernkastel	K�werich	Q657740	St. Michael	Held	108	120-150	hängig	
6.1.7.126	Mosel	Bernkastel	Leiwen	Q681047	St. Michael	Klostergarten	251	120-290	hängig-steil	NO-OSO
6.1.7.127	Mosel	Bernkastel	Leiwen	Q681047	St. Michael	Laurentiuslay	17	120-140	steil	WSW-WN
6.1.8	Mosel	Bernkastel	�rzig	Q335018	Schwarzlay		689	100-300		
6.1.8.128	Mosel	Bernkastel	Bausendorf	Q569296	Schwarzlay	Herzlay	1	190-290	hängig-steil	SW-SSO
6.1.8.129	Mosel	Bernkastel	Burg	Q658530	Schwarzlay	Falklay	19	150-240	steil	WSW
6.1.8.130	Mosel	Bernkastel	Burg	Q658530	Schwarzlay	Hahnenschrittchen	21	110-200	hängig-steil	WSW
6.1.8.131	Mosel	Bernkastel	Burg	Q658530	Schwarzlay	Schloßberg	27	105-150	hängig	W
6.1.8.132	Mosel	Bernkastel	Burg	Q658530	Schwarzlay	Thomasberg	2	120-240	steil	WSW
6.1.8.133	Mosel	Bernkastel	Burg	Q658530	Schwarzlay	Wendelst�ck	12	120-180	steil	WSW
6.1.8.134	Mosel	Bernkastel	Dreis	Q563974	Schwarzlay	Johannisberg	1	165-260	hängig	SO
6.1.8.135	Mosel	Bernkastel	Enkirch	Q553838	Schwarzlay	Batterieberg	1	110-200	steil	WSW
6.1.8.136	Mosel	Bernkastel	Enkirch	Q553838	Schwarzlay	Edelberg	15	110-200	hängig	W
6.1.8.137	Mosel	Bernkastel	Enkirch	Q553838	Schwarzlay	Ellergrub	7	110-280	steil	WSW-W
6.1.8.138	Mosel	Bernkastel	Enkirch	Q553838	Schwarzlay	Herrenberg	16	110-240	steil	WSW
6.1.8.139	Mosel	Bernkastel	Enkirch	Q553838	Schwarzlay	Monteneubel	14	120-240	steil	SSO-WSW
6.1.8.140	Mosel	Bernkastel	Enkirch	Q553838	Schwarzlay	Steffensberg	35	115-300	steil	S
6.1.8.141	Mosel	Bernkastel	Enkirch	Q553838	Schwarzlay	Weinkammer	1	140-260	steil	WSW+S
6.1.8.142	Mosel	Bernkastel	Enkirch	Q553838	Schwarzlay	Zeppwingert	9	110-260	steil	WSW
6.1.8.143	Mosel	Bernkastel	Erden	Q565749	Schwarzlay	Busslay	62	110-170	hängig	NW
6.1.8.144	Mosel	Bernkastel	Erden	Q565749	Schwarzlay	Herrenberg	12	220-300	hängig	S
6.1.8.145	Mosel	Bernkastel	Erden	Q565749	Schwarzlay	Pr�lat	2	110-220	steil	S
6.1.8.146	Mosel	Bernkastel	Erden	Q565749	Schwarzlay	Treppchen	36	110-220	hängig-steil	S
6.1.8.147	Mosel	Bernkastel	Hupperath	Q565320	Schwarzlay	Klosterweg	12	250-310	hängig-steil	SO
6.1.8.148	Mosel	Bernkastel	Bausendorf	Q569296	Schwarzlay	Hubertuslay	37	170-280	hängig-steil	S
6.1.8.149	Mosel	Bernkastel	Wittlich	Q559514	Schwarzlay	Rosenberg	46	195-260	steil	OSO
6.1.8.150	Mosel	Bernkastel	L�snich	Q510820	Schwarzlay	Burgberg	22	100-200	hängig-steil	NO
