LN	WLV-ID	Reg.-Nr.	Status	Typ	Gebiet	Bereich	Leitgemeinde	Wikidata-ID (Leitgemeinde)	Großlage	Wikidata-ID (Großlage)	Ort	Wikidata-ID (Ort)	Einzellage	ha	über NN	Neigung	Exposition
123	wlv-617114	6.1.7.114	aktuell	Einzellage	Mosel	Bernkastel	Mehring	Q543574	St. Michael		k.A.	k.A.	Blattenberg	43	125-220	steil	S-SW
124	wlv-617115	6.1.7.115	aktuell	Einzellage	Mosel	Bernkastel	Mehring	Q543574	St. Michael		k.A.	k.A.	Goldkupp	89	120-320	hängig-steil	S-SSW+N
125	wlv-617116	6.1.7.116	aktuell	Einzellage	Mosel	Bernkastel	Mehring	Q543574	St. Michael		k.A.	k.A.	Zellerberg	122	125-309	hängig-steil	SSW
126	wlv-617117	6.1.7.117	aktuell	Einzellage	Mosel	Bernkastel	Pölich	Q553412	St. Michael		k.A.	k.A.	Held	85	120-200	hängig-steil	S-O
127	wlv-617118	6.1.7.118	aktuell	Einzellage	Mosel	Bernkastel	Schleich	Q660583	St. Michael		k.A.	k.A.	Klosterberg	6	122-170	hängig-steil	SO
128	wlv-617119	6.1.7.119	aktuell	Einzellage	Mosel	Bernkastel	Schleich	Q660583	St. Michael		k.A.	k.A.	Sonnenberg	12	125-230	hängig-steil	O-S
129	wlv-617120	6.1.7.120	aktuell	Einzellage	Mosel	Bernkastel	Thörnich	Q591473	St. Michael		k.A.	k.A.	Enggaß	9	120-250	steil	O-SO
130	wlv-617121	6.1.7.121	aktuell	Einzellage	Mosel	Bernkastel	Thörnich	Q591473	St. Michael		k.A.	k.A.	Ritsch	15	120-250	steil	SSO-SW
131	wlv-617122	6.1.7.122	aktuell	Einzellage	Mosel	Bernkastel	Thörnich	Q591473	St. Michael		k.A.	k.A.	Schießlay	105	120-200	hängig	WSW-NW
132	wlv-617123	6.1.7.123	aktuell	Einzellage	Mosel	Bernkastel	Detzem	Q553394	St. Michael		k.A.	k.A.	Maximiner Klosterlay	43	120-175	hängig-steil	WSW-W
133	wlv-617124	6.1.7.124	aktuell	Einzellage	Mosel	Bernkastel	Detzem	Q553394	St. Michael		k.A.	k.A.	Würzgarten	100	120-200	hängig-steil	WSW
134	wlv-617125	6.1.7.125	aktuell	Einzellage	Mosel	Bernkastel	Köwerich	Q657740	St. Michael		k.A.	k.A.	Held	108	120-150	hängig	
135	wlv-617126	6.1.7.126	aktuell	Einzellage	Mosel	Bernkastel	Leiwen	Q681047	St. Michael		k.A.	k.A.	Klostergarten	251	120-290	hängig-steil	NO-OSO
136	wlv-617127	6.1.7.127	aktuell	Einzellage	Mosel	Bernkastel	Leiwen	Q681047	St. Michael		k.A.	k.A.	Laurentiuslay	17	120-140	steil	WSW-WN
137	wlv-618000	6.1.8	aktuell	Großlage	Mosel	Bernkastel	Ürzig	Q335018	Schwarzlay		k.A.	k.A.	k.A.	689	100-300		
138	wlv-618128	6.1.8.128	aktuell	Einzellage	Mosel	Bernkastel	Bausendorf	Q569296	Schwarzlay		k.A.	k.A.	Herzlay	1	190-290	hängig-steil	SW-SSO
139	wlv-618129	6.1.8.129	aktuell	Einzellage	Mosel	Bernkastel	Burg	Q658530	Schwarzlay		k.A.	k.A.	Falklay	19	150-240	steil	WSW
140	wlv-618130	6.1.8.130	aktuell	Einzellage	Mosel	Bernkastel	Burg	Q658530	Schwarzlay		k.A.	k.A.	Hahnenschrittchen	21	110-200	hängig-steil	WSW
141	wlv-618131	6.1.8.131	aktuell	Einzellage	Mosel	Bernkastel	Burg	Q658530	Schwarzlay		k.A.	k.A.	Schloßberg	27	105-150	hängig	W
142	wlv-618132	6.1.8.132	aktuell	Einzellage	Mosel	Bernkastel	Burg	Q658530	Schwarzlay		k.A.	k.A.	Thomasberg	2	120-240	steil	WSW
143	wlv-618133	6.1.8.133	aktuell	Einzellage	Mosel	Bernkastel	Burg	Q658530	Schwarzlay		k.A.	k.A.	Wendelstück	12	120-180	steil	WSW
144	wlv-618134	6.1.8.134	aktuell	Einzellage	Mosel	Bernkastel	Dreis	Q563974	Schwarzlay		k.A.	k.A.	Johannisberg	1	165-260	hängig	SO
145	wlv-618135	6.1.8.135	aktuell	Einzellage	Mosel	Bernkastel	Enkirch	Q553838	Schwarzlay		k.A.	k.A.	Batterieberg	1	110-200	steil	WSW
146	wlv-618136	6.1.8.136	aktuell	Einzellage	Mosel	Bernkastel	Enkirch	Q553838	Schwarzlay		k.A.	k.A.	Edelberg	15	110-200	hängig	W
147	wlv-618137	6.1.8.137	aktuell	Einzellage	Mosel	Bernkastel	Enkirch	Q553838	Schwarzlay		k.A.	k.A.	Ellergrub	7	110-280	steil	WSW-W
148	wlv-618138	6.1.8.138	aktuell	Einzellage	Mosel	Bernkastel	Enkirch	Q553838	Schwarzlay		k.A.	k.A.	Herrenberg	16	110-240	steil	WSW
149	wlv-618139	6.1.8.139	aktuell	Einzellage	Mosel	Bernkastel	Enkirch	Q553838	Schwarzlay		k.A.	k.A.	Monteneubel	14	120-240	steil	SSO-WSW
150	wlv-618140	6.1.8.140	aktuell	Einzellage	Mosel	Bernkastel	Enkirch	Q553838	Schwarzlay		k.A.	k.A.	Steffensberg	35	115-300	steil	S
151	wlv-618141	6.1.8.141	aktuell	Einzellage	Mosel	Bernkastel	Enkirch	Q553838	Schwarzlay		k.A.	k.A.	Weinkammer	1	140-260	steil	WSW+S
152	wlv-618142	6.1.8.142	aktuell	Einzellage	Mosel	Bernkastel	Enkirch	Q553838	Schwarzlay		k.A.	k.A.	Zeppwingert	9	110-260	steil	WSW
153	wlv-618143	6.1.8.143	aktuell	Einzellage	Mosel	Bernkastel	Erden	Q565749	Schwarzlay		k.A.	k.A.	Busslay	62	110-170	hängig	NW
154	wlv-618144	6.1.8.144	aktuell	Einzellage	Mosel	Bernkastel	Erden	Q565749	Schwarzlay		k.A.	k.A.	Herrenberg	12	220-300	hängig	S
155	wlv-618145	6.1.8.145	aktuell	Einzellage	Mosel	Bernkastel	Erden	Q565749	Schwarzlay		k.A.	k.A.	Prälat	2	110-220	steil	S
156	wlv-618146	6.1.8.146	aktuell	Einzellage	Mosel	Bernkastel	Erden	Q565749	Schwarzlay		k.A.	k.A.	Treppchen	36	110-220	hängig-steil	S
157	wlv-618147	6.1.8.147	aktuell	Einzellage	Mosel	Bernkastel	Hupperath	Q565320	Schwarzlay		k.A.	k.A.	Klosterweg	12	250-310	hängig-steil	SO
158	wlv-618148	6.1.8.148	aktuell	Einzellage	Mosel	Bernkastel	Bausendorf	Q569296	Schwarzlay		k.A.	k.A.	Hubertuslay	37	170-280	hängig-steil	S
159	wlv-618149	6.1.8.149	aktuell	Einzellage	Mosel	Bernkastel	Wittlich	Q559514	Schwarzlay		k.A.	k.A.	Rosenberg	46	195-260	steil	OSO
160	wlv-618150	6.1.8.150	aktuell	Einzellage	Mosel	Bernkastel	Lösnich	Q510820	Schwarzlay		k.A.	k.A.	Burgberg	22	100-200	hängig-steil	NO
161	wlv-618151	6.1.8.151	aktuell	Einzellage	Mosel	Bernkastel	Lösnich	Q510820	Schwarzlay		k.A.	k.A.	Fürsterlay	9	120-220	hängig-steil	SW
162	wlv-618152	6.1.8.152	aktuell	Einzellage	Mosel	Bernkastel	Wolf	Q1563313	Schwarzlay		k.A.	k.A.	Klosterberg	10	160-290	hängig	ONO-SSO
163	wlv-618153	6.1.8.153	aktuell	Einzellage	Mosel	Bernkastel	Wolf	Q1563313	Schwarzlay		k.A.	k.A.	Auf der Heide	1	260-300	steil	WSW
164	wlv-618154	6.1.8.154	aktuell	Einzellage	Mosel	Bernkastel	Trarbach	Q540919	Schwarzlay		k.A.	k.A.	Burgberg	2	120-280	steil	WSW
165	wlv-618155	6.1.8.155	aktuell	Einzellage	Mosel	Bernkastel	Traben	Q540919	Schwarzlay		k.A.	k.A.	Gaispfad	3	140-320	steil	W
166	wlv-618156	6.1.8.156	aktuell	Einzellage	Mosel	Bernkastel	Wolf	Q1563313	Schwarzlay		k.A.	k.A.	Goldgrube	8	120-160	steil	WSW
167	wlv-618157	6.1.8.157	aktuell	Einzellage	Mosel	Bernkastel	Trarbach	Q540919	Schwarzlay		k.A.	k.A.	Hühnerberg	3	100-280	steil	SSW
168	wlv-618158	6.1.8.158	aktuell	Einzellage	Mosel	Bernkastel	Springiersbach	Q547805	Schwarzlay		k.A.	k.A.	Klosterberg	15	170-210	hängig-steil	SW
169	wlv-618159	6.1.8.159	aktuell	Einzellage	Mosel	Bernkastel	Traben	Q540919	Schwarzlay		k.A.	k.A.	Känigsberg	12	180-240	hängig-steil	ONO-S
170	wlv-618160	6.1.8.160	aktuell	Einzellage	Mosel	Bernkastel	Traben	Q540919	Schwarzlay		k.A.	k.A.	Kräuterhaus	14	100-200	hängig	SSW
171	wlv-618161	6.1.8.161	aktuell	Einzellage	Mosel	Bernkastel	Starkenburg	Q682031	Schwarzlay		k.A.	k.A.	Rosengarten	1	200-300	steil	WSW
172	wlv-618162	6.1.8.162	aktuell	Einzellage	Mosel	Bernkastel	Wolf	Q1563313	Schwarzlay		k.A.	k.A.	Schatzgarten	27	140-180	hängig-steil	NO-OSO
173	wlv-618163	6.1.8.163	aktuell	Einzellage	Mosel	Bernkastel	Trarbach	Q540919	Schwarzlay		k.A.	k.A.	Schloßberg	12	100-260	hängig-steil	SW-W+S
174	wlv-618164	6.1.8.164	aktuell	Einzellage	Mosel	Bernkastel	Wolf	Q1563313	Schwarzlay		k.A.	k.A.	Sonnenlay	8	140-220	steil	OSO-SO
175	wlv-618165	6.1.8.165	aktuell	Einzellage	Mosel	Bernkastel	Trarbach	Q540919	Schwarzlay		k.A.	k.A.	Taubenhaus	8	120-220	hängig-steil	O-OSO
176	wlv-618166	6.1.8.166	aktuell	Einzellage	Mosel	Bernkastel	Trarbach	Q540919	Schwarzlay		k.A.	k.A.	Ungsberg	2	100-280	steil	SW
177	wlv-618167	6.1.8.167	aktuell	Einzellage	Mosel	Bernkastel	Traben	Q540919	Schwarzlay		k.A.	k.A.	Würzgarten	30	120-220	hängig	W
178	wlv-618168	6.1.8.168	aktuell	Einzellage	Mosel	Bernkastel	Traben	Q540919	Schwarzlay		k.A.	k.A.	Zollturm	3	140-320	steil	WNW
179	wlv-618169	6.1.8.169	aktuell	Einzellage	Mosel	Bernkastel	Ürzig	Q335018	Schwarzlay		k.A.	k.A.	Würzgarten	52	110-220	hängig-steil	OSO-S
180	wlv-618170	6.1.8.170	aktuell	Einzellage	Mosel	Bernkastel	Wittlich	Q559514	Schwarzlay		k.A.	k.A.	Bottchen	4	200-260	steil	OSO
181	wlv-618171	6.1.8.171	aktuell	Einzellage	Mosel	Bernkastel	Wittlich	Q559514	Schwarzlay		k.A.	k.A.	Felsentreppchen	3	220-260	steil	OSO
182	wlv-618172	6.1.8.172	aktuell	Einzellage	Mosel	Bernkastel	Wittlich	Q559514	Schwarzlay		k.A.	k.A.	Lay	10	220-260	hängig	S+W
183	wlv-618173	6.1.8.173	aktuell	Einzellage	Mosel	Bernkastel	Wittlich	Q559514	Schwarzlay		k.A.	k.A.	Portnersberg	17	190-270	steil	SO-SSO
184	wlv-618174	6.1.8.174	aktuell	Einzellage	Mosel	Bernkastel	Ürzig	Q335018	Schwarzlay		k.A.	k.A.	Goldwingert	1	110-150	steil	S
185	wlv-618175	6.1.8.175	aktuell	Einzellage	Mosel	Bernkastel	Kinheim	Q656236	Schwarzlay		k.A.	k.A.	Römerhang	24	110-180	hängig-steil	NO
186	wlv-619000	6.1.9	aktuell	Großlage	Mosel	Bernkastel	Reil	Q656264	Vom heißen Stein		k.A.	k.A.	k.A.	314	90-260		
187	wlv-619176	6.1.9.176	aktuell	Einzellage	Mosel	Bernkastel	Briedel	Q565192	Vom heißen Stein		k.A.	k.A.	Herzchen	41	95-180	hängig-steil	SW-SSW
188	wlv-619177	6.1.9.177	aktuell	Einzellage	Mosel	Bernkastel	Briedel	Q565192	Vom heißen Stein		k.A.	k.A.	Nonnengarten	15	120-240	hängig-steil	SO
189	wlv-619178	6.1.9.178	aktuell	Einzellage	Mosel	Bernkastel	Briedel	Q565192	Vom heißen Stein		k.A.	k.A.	Schäferlay	7	90-175	hängig-steil	WSW
190	wlv-619179	6.1.9.179	aktuell	Einzellage	Mosel	Bernkastel	Briedel	Q565192	Vom heißen Stein		k.A.	k.A.	Schelm	20	95-120	hängig	ONO
191	wlv-619180	6.1.9.180	aktuell	Einzellage	Mosel	Bernkastel	Briedel	Q565192	Vom heißen Stein		k.A.	k.A.	Weisser Berg	38	90-175		SW
192	wlv-619181	6.1.9.181	aktuell	Einzellage	Mosel	Bernkastel	Pünderich	Q567287	Vom heißen Stein		k.A.	k.A.	Goldlay	19	100-180	hängig	NO
193	wlv-619182	6.1.9.182	aktuell	Einzellage	Mosel	Bernkastel	Pünderich	Q567287	Vom heißen Stein		k.A.	k.A.	Marienburg	52	98-230	hängig-steil	O-S-W
194	wlv-619183	6.1.9.183	aktuell	Einzellage	Mosel	Bernkastel	Pünderich	Q567287	Vom heißen Stein		k.A.	k.A.	Nonnengarten	9	100-180	hängig-steil	SSW
195	wlv-619184	6.1.9.184	aktuell	Einzellage	Mosel	Bernkastel	Pünderich	Q567287	Vom heißen Stein		k.A.	k.A.	Rosenberg	24	100-230	hängig	W
196	wlv-619185	6.1.9.185	aktuell	Einzellage	Mosel	Bernkastel	Reil	Q656264	Vom heißen Stein		k.A.	k.A.	Falklay	31	110-280	hängig-steil	O
197	wlv-619186	6.1.9.186	aktuell	Einzellage	Mosel	Bernkastel	Reil	Q656264	Vom heißen Stein		k.A.	k.A.	Goldlay	17	100-260	hängig-steil	W
198	wlv-619187	6.1.9.187	aktuell	Einzellage	Mosel	Bernkastel	Reil	Q656264	Vom heißen Stein		k.A.	k.A.	Moullay-Hofberg	40	110-260	hängig-steil	ONO-SO
199	wlv-619188	6.1.9.188	aktuell	Einzellage	Mosel	Bernkastel	Reil	Q656264	Vom heißen Stein		k.A.	k.A.	Sorentberg	1	140-260	steil	S
200	wlv-611000	6.1.10	aktuell	Großlage	Mosel	Bernkastel	k.A.	k.A.	Römerlay		k.A.	k.A.	k.A.	114			
201	wlv-6110189	6.1.10.189	aktuell	Einzellage	Mosel	Bernkastel	Kürenz	Q883351	Römerlay		k.A.	k.A.	Altenberg	10	160-240	steil	S-SW
202	wlv-6110190	6.1.10.190	aktuell	Einzellage	Mosel	Bernkastel	Tarforst	Q328287	Römerlay		k.A.	k.A.	Andreasberg	1	190-240	hängig	SO-SW
203	wlv-6110191	6.1.10.191	aktuell	Einzellage	Mosel	Bernkastel	Biewer	Q245974	Römerlay		k.A.	k.A.	Augenscheiner	3	140-150	hängig	SSO
204	wlv-6110192	6.1.10.192	aktuell	Einzellage	Mosel	Bernkastel	Olewig	Q885323	Römerlay		k.A.	k.A.	Benediktinerberg	3	165-190	hängig-steil	SW
205	wlv-6110193	6.1.10.193	aktuell	Einzellage	Mosel	Bernkastel	Olewig	Q885323	Römerlay		k.A.	k.A.	Burgberg	8	160-200	hängig-steil	S-SW
206	wlv-6110194	6.1.10.194	aktuell	Einzellage	Mosel	Bernkastel	Trier	Q3138	Römerlay		k.A.	k.A.	Deutschherrenberg	13	160-250	hängig	S-WSW
207	wlv-6110195	6.1.10.195	aktuell	Einzellage	Mosel	Bernkastel	Trier	Q3138	Römerlay		k.A.	k.A.	Deutschherrenköpfchen	1	150-200	steil	S-SSW
208	wlv-6110196	6.1.10.196	aktuell	Einzellage	Mosel	Bernkastel	Ruwer	Q316811	Römerlay		k.A.	k.A.	Domherrenberg	11	160-250	hängig-steil	WNW-NW
209	wlv-6110197	6.1.10.197	aktuell	Einzellage	Mosel	Bernkastel	Trier	Q3138	Römerlay		k.A.	k.A.	Hammerstein	17	240-280	hängig-steil	SSW
210	wlv-6110198	6.1.10.198	aktuell	Einzellage	Mosel	Bernkastel	Kürenz	Q883351	Römerlay		k.A.	k.A.	Herrenberg	7	230-280	hängig-steil	SW
211	wlv-6110199	6.1.10.199	aktuell	Einzellage	Mosel	Bernkastel	Olewig	Q885323	Römerlay		k.A.	k.A.	Jesuitenwingert	10	160-200	hängig-steil	SO-SSO
212	wlv-6110200	6.1.10.200	aktuell	Einzellage	Mosel	Bernkastel	Olewig	Q885323	Römerlay		k.A.	k.A.	Kurfürstenhofberg	2	160-190	hängig-steil	S-SSW
213	wlv-6110201	6.1.10.201	aktuell	Einzellage	Mosel	Bernkastel	Tarforst	Q328287	Römerlay		k.A.	k.A.	St. Martiner Hofberg	2	180-250	steil	SW
214	wlv-6110202	6.1.10.202	aktuell	Einzellage	Mosel	Bernkastel	Matthias	Q877660	Römerlay		k.A.	k.A.	St. Matheiser	6	160-220	hängig	S-W
215	wlv-6110203	6.1.10.203	aktuell	Einzellage	Mosel	Bernkastel	Trier	Q3138	Römerlay		k.A.	k.A.	St. Maximiner Kreuzberg	12	150-230	hängig-steil	WNW
216	wlv-6110204	6.1.10.204	aktuell	Einzellage	Mosel	Bernkastel	Kernscheid	Q650102	Römerlay		k.A.	k.A.	St. Petrusberg	1	190-240	steil	WSW
217	wlv-6110205	6.1.10.205	aktuell	Einzellage	Mosel	Bernkastel	Olewig	Q885323	Römerlay		k.A.	k.A.	Thiergarten Unterm Kreuz	2	180-200	hängig-steil	S-SW
218	wlv-6110206	6.1.10.206	aktuell	Einzellage	Mosel	Bernkastel	Olewig	Q885323	Römerlay		k.A.	k.A.	Thiergarten Felsköpfchen	1	180-200	steil	S-SW
219	wlv-6110207	6.1.10.207	aktuell	Einzellage	Mosel	Bernkastel	Trier	Q3138	Römerlay		k.A.	k.A.	St. Martiner Klosterberg	2	160-200	steil	S+SO+WS
220	wlv-6110208	6.1.10.208	aktuell	Einzellage	Mosel	Bernkastel	k.A.	k.A.	Römerlay		k.A.	k.A.	k.A.	2	240-280	steil	SSW
221	wlv-620000	6.2	aktuell	Bereich	Mosel	Obermosel	k.A.	k.A.			k.A.	k.A.	k.A.	711	130-350		
222	wlv-621000	6.2.1	aktuell	Großlage	Mosel	Obermosel	Nittel	Q594609	Gipfel		k.A.	k.A.	k.A.	643	130-350		
223	wlv-621001	6.2.1.001	aktuell	Einzellage	Mosel	Obermosel	Fellerich	Q1404048	Gipfel		k.A.	k.A.	Schleidberg	11	266-300	hängig-steil	OSO
224	wlv-621002	6.2.1.002	aktuell	Einzellage	Mosel	Obermosel	Helfant	Q636128	Gipfel		k.A.	k.A.	Kapellenberg	18	150-250	hängig	S-SO
225	wlv-621003	6.2.1.003	aktuell	Einzellage	Mosel	Obermosel	Nittel	Q594609	Gipfel		k.A.	k.A.	k.A.	7	130-350		
226	wlv-621004	6.2.1.004	aktuell	Einzellage	Mosel	Obermosel	Kreuzweiler	Q636128	Gipfel		k.A.	k.A.	Schloß Thorner Kupp	8	150-250	hängig	SO-S
227	wlv-621005	6.2.1.005	aktuell	Einzellage	Mosel	Obermosel	Nittel	Q594609	Gipfel		k.A.	k.A.	Blümchen	24	140-300	hängig-steil	SSW
228	wlv-621006	6.2.1.006	aktuell	Einzellage	Mosel	Obermosel	Nittel	Q594609	Gipfel		k.A.	k.A.	Leiterchen	39	140-270	hängig-steil	SW
229	wlv-621007	6.2.1.007	aktuell	Einzellage	Mosel	Obermosel	Nittel	Q594609	Gipfel		k.A.	k.A.	Rochusfels	116	140-300	hängig-steil	WNW
230	wlv-621008	6.2.1.008	aktuell	Einzellage	Mosel	Obermosel	Oberbillig	Q636185	Gipfel		k.A.	k.A.	Hirtengarten	25	200-250	hängig-steil	WNW
231	wlv-621009	6.2.1.009	aktuell	Einzellage	Mosel	Obermosel	Oberbillig	Q636185	Gipfel		k.A.	k.A.	Römerberg	12	150-220	hängig-steil	WNW
232	wlv-621010	6.2.1.010	aktuell	Einzellage	Mosel	Obermosel	Nittel	Q594609	Gipfel		k.A.	k.A.	Hubertusberg	11	290-350	hängig-steil	SO
233	wlv-621011	6.2.1.011	aktuell	Einzellage	Mosel	Obermosel	Palzem	Q636128	Gipfel		k.A.	k.A.	Carlsfelsen	33	200-250	hängig-steil	NW
234	wlv-621012	6.2.1.012	aktuell	Einzellage	Mosel	Obermosel	Palzem	Q636128	Gipfel		k.A.	k.A.	Lay	69	150-200	hängig-steil	SO-SW
235	wlv-621013	6.2.1.013	aktuell	Einzellage	Mosel	Obermosel	Rehlingen	Q594609	Gipfel		k.A.	k.A.	Kapellenberg	58	130-250	hängig-steil	SW-W
236	wlv-621014	6.2.1.014	aktuell	Einzellage	Mosel	Obermosel	Temmels	Q636175	Gipfel		k.A.	k.A.	St. Georgshof	36	140-180	hängig-steil	WNW+SW
237	wlv-621015	6.2.1.015	aktuell	Einzellage	Mosel	Obermosel	Wasserliesch	Q553357	Gipfel		k.A.	k.A.	Albachtaler	7	150-200	hängig	SO+WNW
238	wlv-621016	6.2.1.016	aktuell	Einzellage	Mosel	Obermosel	Wasserliesch	Q553357	Gipfel		k.A.	k.A.	Reinig auf der Burg	7	140-150	flach	SO+WNW
239	wlv-621017	6.2.1.017	aktuell	Einzellage	Mosel	Obermosel	Wehr	Q636128	Gipfel		k.A.	k.A.	Rosenberg	33	130-190	hängig-steil	S-W-WNW
240	wlv-621018	6.2.1.018	aktuell	Einzellage	Mosel	Obermosel	Wellen	Q636208	Gipfel		k.A.	k.A.	Altenberg	13	140-260	hängig-steil	SW-NW
241	wlv-621019	6.2.1.019	aktuell	Einzellage	Mosel	Obermosel	Wincheringen	Q543611	Gipfel		k.A.	k.A.	Burg Warsberg	115	200-250	hängig-steil	S
242	wlv-622000	6.2.2	aktuell	Großlage	Mosel	Obermosel	Mesenich	Q610893	Königsberg		k.A.	k.A.	k.A.	68	130-270	hängig-steil	S
243	wlv-622020	6.2.2.020	aktuell	Einzellage	Mosel	Obermosel	Mesenich	Q610893	Königsberg		k.A.	k.A.	k.A.	31	130-270	hängig-steil	S
244	wlv-622021	6.2.2.021	aktuell	Einzellage	Mosel	Obermosel	Igel	Q543497	Königsberg		k.A.	k.A.	Dullgärten	6	160-200	hängig-steil	SSW
245	wlv-622022	6.2.2.022	aktuell	Einzellage	Mosel	Obermosel	Langsur	Q610893	Königsberg		k.A.	k.A.	Brüderberg	22	130-170	hängig-steil	S-SW
246	wlv-622023	6.2.2.023	aktuell	Einzellage	Mosel	Obermosel	Liersberg	Q20820333	Königsberg		k.A.	k.A.	Pilgerberg	4	259-270	hängig-steil	SSO
